Um 1,Iguvine Tables,
Um 2,Forum Nouum 2,163
Um 3,Forum Nouum 1,161
Um 4,Caere 1,153
Um 40,Sabini 1,157
Um 41,Capena 1,171
Um 5,Asisium 2,103
Um 6,Fulginiae 1,112
Um 7,Tadinum 3,98
Um 8,Meuania 2,122
Um 9,Hispellum 2,110
Um 10,Asisium 1,101
Um 11,Asisium 4,107
Um 12,Meuania 4,125
Um 13,Meuania 5,127
Um 14,Meuania 3,124
Um 15,Meuania 6,128
Um 16,Tuder 2,132
Um 17,Plestia 1,115
Um 18,Plestia 3,117
Um 19,Plestia 2,116
Um 20,Plestia 4,118
Um 21,Ameria 1,148
Um 22,Ameria 1,148
Um 23,Umbria 2,87
Um 24,Fulginiae 2,114
Um 25,Meuania 1,121
Um 26,Meuania 7,129
Um 27,Tuder 5,137
Um 28,Tuder 7,140
Um 29,Tuder 8,141
Um 30,Tuder 6,139
Um 31,Sestinum 1,93
Um 32-3,Umbria 1,85
Um 33,Umbria 1,85
Um 34,Nuceria Alfaterna 2,907
Um 35,Tuder 3,134
Um 36,Tuder 4,136
Um 37,Tuder 9,142
Um 38,Umbria 3,89
Um 39,Hispellum 3,111
nUm 1,Tuder 1,131
nUm 2,Iguuium 1,94
VM 1,Satricum 1,155
VM 2,Velitrae 1,340
VM 3,Antinum 1,338
VM 4,Marruuium 2,334
VM 5,Marruuium 1,333
VM 6,Supinum 1,336
VM 7,Marsi 1,332
VM 8,"Forgery: see the Introduction, p. 59, no. 3",
VM 9,Aueia 1,214
Sp MC 1,Vrbs Saluia 1,178
Sp MC 2,Vrbs Saluia 2,180
Sp AP 1,Asculum Picenum 1,190
Sp AP 2,Asculum Picenum 2,192
Sp AP 3,Falerio 1,182
Sp AP 4,Falerio 2,184
Sp AP 5,Falerio 3,186
Sp AP 6,Falerio 4,188
Sp TE 1,Asculum Picenum 3,194
Sp TE 2,Interamnia Praetuttiorum 4,202
Sp TE 3,Interamnia Praetuttiorum 5,204
Sp TE 4,Interamnia Ptaetuttiorum 6,206
Sp TE 5,Interamnia Praeturriorum 1,196
Sp TE 6,Interamnia Praetuttiorum 2,198
Sp TE 7,Interamnia Praetuttiorum 3,200
Sp CH 1,Anxanum 1,1260
Sp CH 2,Interpromium 1,251
Sp AQ 1,Superaequum 1,240
Sp AQ 2,Aufinum 1,226
Sp AQ 3,Superaequum 2,242
Sp Ri 1 (part 1),Cures 1,167
Sp Ri 1 (part 2),Cures 2,169
Sp BO 1,Interpromium B,259
Sp BA 1,Interpromium A,257
Ps 20,Blanda 1,1336
Ps 1,Nerulum 1,1340
Ps 2,Scolacium 1,1482
Ps 3,Capua 35,447
Ps 4,Nuceria Alfaterna 3,909
Ps 5,Surrentum 2,851
Ps 6,Stabiae 2,843
Ps 7,Stabiae 1,841
Ps 8,Salernum 2,919
Ps 9,Casinum 1,929
Ps 10,Minturnae 1,359
Ps 11,Nola 8,874
Ps 12,Nola 7,872
Ps 13,Nola 6,870
Ps 14,Nola 11,880
Ps 15,Nuceria Alfaterna 6,913
Ps 16,Nola 12,882
Ps 17,Nola 12,882
Ps 18,Etruscan: see Ve 12,
Ps 19,Campania 1,375
Pg 1,Corfinium 1,261
Pg 2,Superaequum 4,246
Pg 3,Corfinium 29-30,292
Pg 4,Sulmo 3,303
Pg 5,Sulmo 2,301
Pg 6,Superaequum 3,244
Pg 7,Superaequum 3,244
Pg 8,Latin,
Pg 56,Corfinium 2,263
Pg 57,Corfinium 3,264
Pg 58,Corfinium 4,265
Pg 9,Corfinium 6,267
Pg 10,Corfinium 11,273
Pg 11,Sulmo 13,318
Pg 12,Sulmo 6,308
Pg 13,Sulmo 7,310
Pg 14,Corfinium 7,269
Pg 15,Sulmo 4,305
Pg 16,Sulmo 8,312
Pg 17,Sulmo 5,307
Pg 18,Sulmo 10,315
Pg 19,Sulmo 9,314
Pg 20,Sulmo 11,316
Pg 21,Sulmo 18,325
Pg 22,Sulmo 17,324
Pg 23,Corfinium 31,294
Pg 24,Corfinium 20,283
Pg 25,Corfinium 23,286
Pg 26,Superaequum 6,250
Pg 27,Corfinium 35,298
Pg 28,Sulmo 14,320
Pg 29,Sulmo 22,330
Pg 30,Sulmo 21,329
Pg 59,Corfinium 27,290
Pg 31,Corfinium 21,284
Pg 32,Corfinium 13,276
Pg 33,Corfinium 16,279
Pg 34,Sulmo 15,321
Pg 35,Sulmo 23,331
Pg 36,Sulmo 16,323
Pg 37,Corfinium 18,281
Pg 38,Corfinium 15,278
Pg 39,Corfinium 14,277
Pg 40,Corfinium 34,297
Pg 41,Corfinium 19,282
Pg 42,Corfinium 9,271
Pg 43,Corfinium 33,296
Pg 44,Corfinium 5,266
Pg 45,Sulmo 20,328
Pg 46,Sulmo 19,327
Pg 47,Corfinium 25,288
Pe 48,Corfinium 22,285
Pg 49,Corfinium 17,280
Pg 50,Corfinium 12,275
Pg 51,Latin,
Pg 52,Corfinium 24,287
Pg 53,Corfinium 10,272
Pg 54,Latin,
Pg 55,"Latin: see Vetter 215, x",
nPg 1,Italia 1,67
nPg 2,Italia 1,67
nPg 3,Italia 1,67
nPg 4,Italia 1,67
nPg 5,Italia 1,67
nPg 6,Italia 1,67
nPg 7,Italia 1,67
nPg 8,Italia 1,67
MV 1,Teate Marrucinorum 2,229
MV 2,Incerulae 1,219
MV 11,Interpromium 3,254
MV 12,Incerulae 2,221
MV 3,Interpromium 2,253
MV 4,Teate Marrucinorum 5,236
MV 5,Incerulae 4,224
MV 10,Peltuinum 1,216
MV 6,Teate Marrucinorum 4,235
MV 7,Teate Marrucinorum 3,234
MV 8,Teate Marrucinorum 6,237
MV 9,Teate Marrucinorum 7,239
Fr 1,Histonium 1,1265
Fr 2,Pallanum 1,1253
Fr 3,Larinum 2,1282
Fr 4,Histonium 7,1274
Fr 5,Histonium 5,1271
Fr 6,Frentani 1,1250
Fr 7,"Vestini, Marrucini, Paeligni, Marsi 1",209
Fr 8,Histonium 10,1278
Fr 9,*Frentiae 1,1248
Fr 10,Larinum 6,1287
Fr 11,Teanum Apulum 2,1294
Fr 12,Histonium 9,1277
Fr 13,Histonium 6,1272
Fr 14,Histonium 2,1267
Fr 15,Histonium 11,1279
Fr 16,Histonium 12,1280
tFr 1,Teanum Apulum 5,1300
nFr 1,*Frentrum 1,1252
nFr 2,Larinum 1,1281
nFr 3,Teanum Apulum 1,1292
Sa 1,Teruentum 34,1200
Sa 2,Teruentum 36,1208
Sa 3,Teruentum 4,1150
Sa 4,Teruentum 8,1156
Sa 5,Teruentum 11,1163
Sa 6,Teruentum 18,1174
Sa 7,Teruentum 18,1174
Sa 8,Teruentum 21,1181
Sa 9,Teruentum 33,1198
Sa 10,Teruentum 16,1171
Sa 11,Teruentum 15,1170
Sa 12,Teruentum 17,1173
Sa 13,Teruentum 12,1165
Sa 14,Atina 1,935
Sa 15,Fagifulae 1,1219
Sa 16,Teruentum 9,1159
Sa 17,Aufidena 1,1235
Sa 18,Aufidena 2,1237
Sa 19,Teruentum 10,1161
Sa 20,Bouianum 40,1036
Sa 21,Teruentum 5,1152
Sa 22,Bouianum or Saepinum not Aesernia 1,985
Sa 23,Teruentum 38,1211
Sa 24,Teruentum 20,1179
Sa 25,Bouianum 97,1095
Sa 59,Saepinum 4,1136
Sa 60,Bouianum 41,1037
Sa 26,Teruentum 35,1207
Sa 27,Bouianum 116,1121
Sa 61,Aquinum 2,931
Sa 28,Teruentum 19,1177
Sa 29,Bouianum 39,1035
Sa 30,Fagifulae 3,1222
Sa 31,Saepinum 2,1132
Sa 32,Campania or Samnium 5,370
Sa 33,Bouianum 107,1111
Sa 34,Bouianum 108,1113
Sa 35,Teruentum 25,1186
Sa 36,Bouianum 98,1097
Sa 37,Atina 1,935
Sa 38,Teruentum 2,1148
Sa 39,Teruentum 3,1149
Sa 40,Atina 1,935
Sa 41,Allifae 2,584
Sa 42,Saepinum 3,1134
Sa 43,Bouianum 42,1038
Sa 44,Fagifulae 2,1220
Sa 45,Teruentum 23,1184
Sa 46,Bouianum 44,1040
Sa 47,Bouianum 109,1114
Sa 48,Bouianum 99,1099
Sa 49,Fagifulae 5,1225
Sa 50,Bouianum 104,1104
Sa 51,Bouianum 66,1062
Sa 52,Bouianum 45,1041
Sa 53,Bouianum 46,1042
Sa 54,Bouianum 72,1068
Sa 55,Bouianum 32,1028
Sa 56,Fagifulae 5,1225
Sa 57,Teruentum 27,1190
Sa 58,Aquinum 3,932
tSa 1,Bouianum 3,991
tSa 2,Bouianum 1,987
tSa 3,Bouianum 2,989
tSa 4,Bouianum 27,1021
tSa 24,Bouianum 27,1021
tSa 5,Bouianum 11,1000
tSa 6,Bouianum 13,1004
tSa 7,Bouianum 16,1008
tSa 8,Bouianum 12,1002
tSa 9,Bouianum 15,1007
tSa 10,Bouianum 10,998
tSa 11,Bouianum 14,1006
tSa 12,Bouianum 8,996
tSa 13,Bouianum 9,997
tSa 36,Bouianum 9,997
tSa 14,Bouianum 21,1014
tSa 15,Bouianum 5,993
tSa 16,Bouianum 23,1016
tSa 17,Bouianum 17,1009
tSa 18,Bouianum 6,994
tSa 19,Bouianum 20,1013
tSa 20,Bouianum 19,1011
tSa 21,Bouianum 24,1017
tSa 22,Bouianum 7,995
tSa 23,Bouianum 26,1020
tSa 25,Bouianum 26,1020
tSa 26,Bouianum 28,1023
tSa 27,Bouianum 119,1125
tSa 29,Bouianum 119,1125
tSa 28,Bouianum 119,1125
tSa 30,Bouianum 83,1079
tSa 31,Bouianum 18,1010
tSa 32,Bouianum 22,1015
tSa 33,Bouianum 84,1080
tSa 34,Bouianum 4,992
tSa 35,Bouianum 31,1027
tSa 37,Bouianum 36,1032
tSa 38,Bouianum 85,1081
tSa 39,Bouianum 92,1089
tSa 40,Bouianum 90,1086
tSa 41,Saepinum 1,1131
tSa 42,Bouianum 118,1124
tSa 43,Teruentum 44,1218
tSa 44,Bouianum 110,1115
tSa 45,Aufidena 7,1244
tSa 46,Bouianum 82,1078
tSa 47,Teruentum 30,1193
tSa 48,Teruentum 29,1192
nSa 1,Allifae 1,581
nSa 2a,Cubulteria 1,580
nSa 2b,Non-existent,
nSa 3,Non-existent,
nSa 4,Campania Coinage 4,383
nSa 5,Latin,
nSa 6,Aquilonia 1,975
nSa 7,Meles 1,976
Hi 1,Aeclanum 4,961
Hi 2,Aeclanum 10,968
Hi 3,Abellinum 1,945
Hi 4,Aeclanum 3,959
Hi 5,Aeclanum 2,958
Hi 6,Aeclanum 1,957
Hi 7,Saepinum 10,1143
Hi 8-9,Abellinum 5,951
Hi 10,Abellinum 3,949
tHi 1,Aeclanum 12,970
tHi 2,Aeclanum 7,965
tHi 3,Aeclanum 8,966
tHi 4,Latin: [-?-]NIO,
tHi 5,Abellinum 6,952
tHi 6,Abellinum 4,950
nHi 1,Campania Coinage 2,381
He 1,Anagnia 1,343
He 2,Anagnia 13,355
He 3,Anagnia 14,357
Si 1,Teanum Sidicinum 34,572
Si 2,Venafrum 1,977
Si 3,Teanum Sidicinum 2,532
Si 4,Teanum Sidicinum 30,568
Si 5,Teanum Sidicinum 26,563
Si 6,Teanum Sidicinum 27,565
Si 20,Teanum Sidicinum 28,566
Si 21,Teanum Sidicinum 29,567
Si 22,Teanum Sidicinum 31,569
Si 7,Teanum Sidicinum 17,548
Si 8,Teanum Sidicinum 18,549
Si 9,Teanum Sidicinum 19,551
Si 10,Teanum Sidicinum 23,557
Si 11,Teanum Sidicinum 22,555
Si 12,Teanum Sidicinum 21,553
Si 13,Teanum Sidicinum 20,552
Si 14,Teanum Sidicinum 9,540
Si 15,Teanum Sidicinum 6,537
Si 16,Teanum Sidicinum 10,541
Si 17,Teanum Sidicinum 11,542
